Record,Timestamp,Consent,Institution,Gender,Age,Role,Level,Course1,Course2,Course3,Course4,School,Department,YearsServed,Q1,Q2,CQIAwareof,Q3,PSIAwareof,Q4,Q5,Q6_lecture_and_presentations,Q6_case_studies,Q6_workshops_and_hands_on_experience,Q6_group_projects,Q6_simulations_and_role_playing,Q6_peer_learning_and_discussions,Q6_mentorship_and_coaching,Q6_other,Q6_other_specify,Q7_lecture_and_presentations,Q7_case_studies,Q7_workshops_and_hands_on_experience,Q7_group_projects,Q7_simulations_and_role_playing,Q7_peer_learning_and_discussions,Q7_mentorship_and_coaching,Q7_other,Q7_other_specify,Q8,Q9_process_mapping_and_workflow_analysis,Q9_data_collection_and_analysis_QI,Q9_plan_do_study_act,Q9_lean_and_six_sigma,Q9_change_management,Q9_measuring_and_monitoring_quality_metrics,Q9_team_and_communication_QI,Q9_clinical_audits,Q9_sustainability_QI,Q9_QI_project_management,Q9_regulatory_and_accreditation_standards,Q9_other,Q9_other_specify,Q10_root_cause_analysis,Q10_error_prevention_and_mitigation_startegies,Q10_medication_safety,Q10_infection_prevention_and_control,Q10_incident_reporting_and_learning_systems,Q10_human_factors_and_safety_culture,Q10_safe_care_transitions,Q10_patient_identification_and_communication,Q10_other,Q10_other_specify,Q11_timelines_of_care,Q11_patient_satisfaction,Q11_equal_quality_of_care,Q11_efficient_use_of_resources,Q11_educational_programs,Q11_clinical_care_protocols,Q11_facility_mortality_audit,Q11_other,Q11_none,Q11_other_specify,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24_lack_of_expertise_and_training,Q24_resistance_to_change,Q24_inadequate_teaching_resources,Q24_time_constraints,Q24_limited_experience_with_interdisciplinary_teaching,Q24_lack_of_motivation_or_incentives,Q24_institutional_culture,Q24_inadequate_infrastructure,Q24_competing_priorities,Q24_lack_of_leadership_support,Q24_interprofessional_collaboration,Q24_curriculum_integration_issues,Q24_sustainability_issues,Q24_other,Q24_other_specify,Q1b,Q2b,Q3b,Q4b,Q5b,Q6b,Q7b,Q8b,Q9b,Q10b,Q11b,Q1c,Q2c,Q3c,Q4c,Q5c,Q1d,Q2d,Q3d,Q4d,Q5d,Q1e,Q2e,Q3e,Q4e,Q5e,Q6e,Q1f,Q2f,Q3f,Q4f,Q5f,Q6f,Q7f,Q1g,Q2g,Q1h,Q2h,Q1i,Q2i,Q3i,Q4i,Q5i,Q6i,Q7i,Q8i,CommitteeName,Q9i,Q10i,Q11i,Q12i,Q13i,Q1j,Q2j,Complete,course
29,[not completed],Yes,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete,
30,[not completed],Yes,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete,
31,30/08/2024 08:50,Yes,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,
32,[not completed],Yes,University of Nairobi Faculty of Health Sciences,Male,20-24,Faculty member,,,,,,,,4,1.0,Not sure,,Yes,to observe preventive measures control,Yes,Yes,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,,1.0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,Faculty,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1= 20 Hrs or less,1.0,Incomplete,
33,30/08/2024 10:12,Yes,Kenyatta National Hospital,Female,20-24,Student (Including residents),,,,,,,,4th year,2.0,Not sure,,Not sure,,Yes,Yes,1,1,0,1,0,0,0,0,,1,0,0,1,0,1,0,0,,2.0,0,1,1,0,1,1,0,1,0,0,0,0,,0,1,1,0,1,1,0,0,0,,0,1,0,0,1,0,1,0,0,,2.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,Faculty,1,1,1,0,0,1,0,1,1,0,0,1,0,0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,quality standards committee ,2.0,2.0,2.0,2.0,1.0,2= 21-40 Hrs,3.0,Complete,
34,[not completed],Yes,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete,
35,30/08/2024 10:44,Yes,University of Nairobi Faculty of Health Sciences,Male,20-24,Student (Including residents),Undergraduate,,BScN (Bachelor of Science in Nursing),,,,,4,1.0,Not sure,,Not sure,,Yes,Yes,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,,1.0,0,1,0,0,0,0,0,1,0,0,1,0,,0,1,0,0,1,0,1,0,0,,0,0,0,0,0,1,0,0,0,,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,Student,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,,2.0,1.0,2.0,2.0,1.0,5=>80 Hrs,3.0,Complete,BScN (Bachelor of Science in Nursing)
36,[not completed],Yes,University of Nairobi Faculty of Health Sciences,Male,25-34,Student (Including residents),Undergraduate,,BScN (Bachelor of Science in Nursing),,,,,,1.0,Not sure,,Not sure,,Yes,Yes,1,1,0,1,0,1,1,0,,1,1,1,1,1,1,1,1,,1.0,1,1,1,0,1,1,1,1,1,1,1,0,,1,1,1,1,1,1,1,1,0,,1,0,1,0,1,1,0,0,0,,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,Faculty,0,1,1,1,1,1,1,1,1,1,1,1,1,0,,4.0,3.0,5.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,4.0,3.0,3.0,,3.0,3.0,2.0,2.0,3.0,99=No information,3.0,Incomplete,BScN (Bachelor of Science in Nursing)
37,30/08/2024 13:31,Yes,University of Nairobi Faculty of Health Sciences,Female,25-34,Student (Including residents),Undergraduate,,MBChB (Bachelor of Medicine and Surgery),,,,,Year 6,2.0,No,,No,,No,Yes,1,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,0,,2.0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,Regulatory bodies,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,,3.0,3.0,4.0,3.0,3.0,99=No information,3.0,Complete,MBChB (Bachelor of Medicine and Surgery)
38,[not completed],Yes,University of Nairobi Faculty of Health Sciences,Male,25-34,Student (Including residents),Undergraduate,,MBChB (Bachelor of Medicine and Surgery),,,,,Five,1.0,No,,Not sure,,No,Yes,1,1,1,0,0,1,0,0,,0,1,0,0,0,0,0,0,,1.0,0,0,0,0,0,1,1,1,0,0,0,0,,1,1,1,1,1,1,1,1,0,,1,0,1,1,1,1,0,0,0,,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,Public,1,1,0,1,1,0,0,0,0,0,0,0,0,0,,2.0,2.0,1.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,,2.0,2.0,4.0,3.0,2.0,3.0,,3.0,2.0,2.0,3.0,2.0,3= 41-60 Hrs,3.0,Incomplete,MBChB (Bachelor of Medicine and Surgery)
39,[not completed],Yes,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete,
40,[not completed],Yes,University of Nairobi Faculty of Health Sciences,Male,25-34,Student (Including residents),Undergraduate,,BScN (Bachelor of Science in Nursing),,,,,3,1.0,Yes,weely CME and CDP,Yes,,No,Yes,1,0,0,0,0,0,0,0,,1,0,1,0,1,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete,BScN (Bachelor of Science in Nursing)
41,[not completed],Yes,University of Nairobi Faculty of Health Sciences,Female,20-24,Student (Including residents),Undergraduate,,MBChB (Bachelor of Medicine and Surgery),,,,,VI,1.0,No,,No,,Yes,Yes,1,0,0,0,0,0,0,0,,0,0,1,0,1,0,0,0,,1.0,1,0,0,0,0,0,0,0,0,1,0,1,none,1,1,0,1,1,1,0,1,0,,0,0,0,0,0,0,1,0,0,,4.0,4.0,2.0,4.0,2.0,2.0,4.0,1.0,4.0,3.0,4.0,Regulatory bodies,1,1,1,1,0,1,1,0,0,1,0,0,0,0,,5.0,4.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,5.0,3.0,4.0,2.0,3.0,2.0,4.0,5.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,,2.0,,2.0,2.0,3.0,3= 41-60 Hrs,3.0,Incomplete,MBChB (Bachelor of Medicine and Surgery)
42,[not completed],Yes,University of Nairobi Faculty of Health Sciences,Male,20-24,Student (Including residents),Undergraduate,,BScN (Bachelor of Science in Nursing),,,,,3rd year ,1.0,Not sure,,Yes,Right medication safety,Yes,Yes,1,0,0,1,0,1,0,0,,1,0,0,0,0,1,1,0,,2.0,0,1,0,0,1,0,0,0,0,1,0,0,,0,0,1,1,0,0,0,1,0,,0,1,1,1,1,0,0,0,0,,2.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,3.0,2.0,Government,1,0,1,1,1,0,0,1,0,1,0,0,0,0,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,3= 41-60 Hrs,2.0,Incomplete,BScN (Bachelor of Science in Nursing)
43,02/09/2024 11:14,Yes,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,
44,02/09/2024 12:21,Yes,University of Nairobi Faculty of Health Sciences,Female,20-24,Student (Including residents),Undergraduate,,BScN (Bachelor of Science in Nursing),,,,,3,1.0,Not sure,,Not sure,,Not sure,Yes,1,1,0,0,0,0,1,0,,1,1,0,0,0,0,0,0,,2.0,1,1,1,0,0,0,1,1,0,0,0,0,,0,1,1,1,0,0,1,1,0,,0,1,1,1,1,1,0,0,0,,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,Public,1,1,1,0,1,1,0,0,0,1,0,0,0,0,,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Not sure,3.0,3.0,3.0,3.0,3.0,3= 41-60 Hrs,2.0,Complete,BScN (Bachelor of Science in Nursing)
